Class,Home State,Virginia County,Home Zip,Home Country,High School Attended,High School  CSZ,zip,long,lat
2022,PA,,18015,,Saucon Valley Senior Hs                                     ,"Hellertown, PA 18055-2499                    ",18055, -75.304353,40.591583
2022,CA,,92014,,Pacific Ridge School                                        ,"Carlsbad, CA 92009-3094                      ",92009,-117.243882,33.095470
2022,SC,,29464,,Ashley Hall                                                 ,"Charleston, SC 29403-5821                    ",29403, -79.943180,32.805900
2022,FL,,33410,,Benjamin School                                             ,"Palm Bch Gdns, FL 33418-6737                 ",33418, -80.165712,26.872713
2022,PA,,19426,,Spring-Ford High School                                     ,"Royersford, PA 19468-1829                    ",19468, -75.532067,40.207638
2022,TX,,75214,,Woodrow Wilson High School                                  ,"Dallas, TX 75214-4518                        ",75214, -96.745968,32.828494
2022,NC,,28211,,Myers Park High School                                      ,"Charlotte, NC 28209-1716                     ",28209, -80.853985,35.178714
2022,NC,,28270,,Providence High School                                      ,"Charlotte, NC 28270-0330                     ",28270, -80.764415,35.112079
2022,TX,,78412,,Richard King High School                                    ,"Corpus Christi, TX 78412-3317                ",78412, -97.345045,27.703573
2022,VA,ARLINGTON,22201,,Georgetown Visitation Prep Sch                              ,"Washington, DC 20007-2728                    ",20007, -77.079339,38.914363
2022,TN,,37027,,David Lipscomb High School                                  ,"Nashville, TN 37204-3903                     ",37204, -86.774283,36.106735
2022,NC,,28078,,Cannon School                                               ,"Concord, NC 28027-7575                       ",28027, -80.685957,35.406991
2022,VA,HENRY,24165,,Magna Vista High School                                     ,"Ridgeway, VA 24148-4114                      ",24148, -79.877967,36.579801
2022,AL,,36106,,Montgomery Academy                                          ,"Montgomery, AL 36106-2736                    ",36106, -86.257585,32.352820
2022,TX,,75228,,Tuloso-Midway High School                                   ,"Corpus Christi, TX 78410                     ",78410, -97.596306,27.838247
2022,VA,ALBEMARLE,22940,,Saint Anne's-Belfield                                       ,"Charlottesvle, VA 22903-1716                 ",22903, -78.595060,38.006972
2022,KY,,40014,,Deerfield Academy                                           ,"Deerfield, MA 01342-5002                     ",01342, -72.609458,42.543889
2022,MA,,2476,,Middlesex School                                            ,"Concord, MA 01742-9122                       ",01742, -71.364496,42.462911
2022,AL,,35213,,Mountain Brook High School                                  ,"Mountain Brk, AL 35223-1420                  ",35223, -86.734834,33.488141
2022,SC,,29464,,Porter-Gaud School                                          ,"Charleston, SC 29407-7524                    ",29407, -79.997803,32.798930
2022,VA,HENRICO,23060,,Hermitage High School                                       ,"Richmond, VA 23228-1999                      ",23228, -77.492834,37.626617
2022,GA,,30327,,Rabun Gap-Nacoochee School                                  ,"Rabun Gap, GA 30568                          ",30568, -83.432795,34.959487
2022,VA,POQUOSON CITY,23662,,Poquoson High School                                        ,"Poquoson, VA 23662-2050                      ",23662, -76.353027,37.133319
2022,VA,FAIRFAX COUNTY,22153,,Pope John Paul The Great Cath                               ,"Dumfries, VA 22026                           ",22026, -77.296214,38.560041
2022,VA,ARLINGTON,22207,,Yorktown High School                                        ,"Arlington, VA 22207-1707                     ",22207, -77.124238,38.906665
2022,VA,HENRICO,23229,,Hermitage High School                                       ,"Richmond, VA 23228-1999                      ",23228, -77.492834,37.626617
2022,MI,,48895,,Fowlerville High School                                     ,"Fowlerville, MI 48836-9808                   ",48836, -84.076583,42.669319
2022,IN,,46260,,Glenwood Senior High School                                 ,"Chatham, IL 62629-8083                       ",62629, -89.716922,39.677477
2022,NJ,,8003,,Bishop Eustace Preparatory Sch                              ,"Pennsauken, NJ 08109-4798                    ",08109, -75.050129,39.951291
2022,CA,,91024,,Mayfield Senior School                                      ,"Pasadena, CA 91105-2439                      ",91105,-118.166649,34.139460
2022,VA,FAIRFAX COUNTY,22101,,McLean High School                                          ,"McLean, VA 22101-4305                        ",22101, -77.164882,38.940203
2022,NC,,27006,,Forsyth Country Day School                                  ,"Lewisville, NC 27023-8232                    ",27023, -80.456712,36.089784
2022,CA,,92118,,Coronado High School                                        ,"Coronado, CA 92118-2113                      ",92118,-117.209642,32.699234
2022,VA,ALEXANDRIA CITY,22314,,ACPS/T.C. Williams High School                              ,"Alexandria, VA 22302-3001                    ",22302, -77.083132,38.827888
2022,VA,HENRICO,23229,,Cape Henry Collegiate School                                ,"Virginia Bch, VA 23454-2306                  ",23454, -76.030835,36.818062
2022,GA,,30064,,Walker School                                               ,"Marietta, GA 30062-2404                      ",30062, -84.468945,34.005578
2022,FL,,33434,,Saint Andrews School                                        ,"Boca Raton, FL 33434-4455                    ",33434, -80.167138,26.382712
2022,OH,,45069,,Lakota East High School                                     ,"Liberty Township, OH 45044                   ",45044, -84.410243,39.482404
2022,VA,LOUDOUN,20132,,                                                            ,                                             ,,,
2022,NC,,28226,,Charlotte Latin School                                      ,"Charlotte, NC 28277-8695                     ",28277, -80.817552,35.052875
2022,GA,,30309,,New School                                                  ,"Atlanta, GA 30307-2543                       ",30307, -84.333600,33.771079
2022,VA,RADFORD CITY,24141,,Radford High School                                         ,"Radford, VA 24141-1554                       ",24141, -80.568655,37.096142
2022,MA,,2718,,Stoughton High School                                       ,"Stoughton, MA 02072-2325                     ",02072, -71.103650,42.119006
2022,OR,,97504,,Cascade Christian High School                               ,"Medford, OR 97504                            ",97504,-122.800496,42.327947
2022,TN,,37664,,Dobyns Bennett High School                                  ,"Kingsport, TN 37664-2658                     ",37664, -82.498988,36.520428
2022,NJ,,7440,,Seton Hall Preparatory School                               ,"West Orange, NJ 07052-4716                   ",07052, -74.265059,40.785753
2022,FL,,33186,,John A Ferguson Senior Hs                                   ,"Miami, FL 33185                              ",33185, -80.450733,25.726359
2022,CT,,6824,,Fairfield Warde High School                                 ,"Fairfield, CT 06825-2050                     ",06825, -73.243254,41.196583
2022,PA,,19333,,Conestoga High School                                       ,"Berwyn, PA 19312-1260                        ",19312, -75.454948,40.031291
2022,MA,,1527,,Saint Marys High School                                     ,"Worcester, MA 01610-1912                     ",01610, -71.808366,42.247049
2022,NY,,10708,,Bronxville High School                                      ,"Bronxville, NY 10708-4829                    ",10708, -73.829922,40.938267
2022,TX,,75205,,Saint Marks School Of Texas                                 ,"Dallas, TX 75230-4047                        ",75230, -96.793393,32.902679
2022,VA,VIRGINIA BEACH CITY,23454,,Ocean Lakes High School                                     ,"Virginia Beach, VA 23454-6878                ",23454, -76.030835,36.818062
2022,TX,,75225,,Highland Park High School                                   ,"Dallas, TX 75205-1070                        ",75205, -96.795514,32.835893
2022,PA,,19333,,Haverford School                                            ,"Haverford, PA 19041-1337                     ",19041, -75.315837,40.007406
2022,PA,,19446,,North Penn High School                                      ,"Lansdale, PA 19446-4718                      ",19446, -75.303915,40.232327
2022,NC,,27606,,New Visions Charter High School F                           ,"Bronx, NY 10463-5079                         ",10463, -73.906540,40.880678
2022,SC,,29201,,Heathwood Hall Episcopal Sch                                ,"Columbia, SC 29201-5130                      ",29201, -81.028098,33.982484
2022,NE,,68135,,Lewis Central High School                                   ,"Council Bluffs, IA 51503-7899                ",51503, -95.784481,41.223220
2022,OH,,45066,,Springboro High School                                      ,"Springboro, OH 45066-1524                    ",45066, -84.224353,39.551158
2022,WV,,25404,,Spring Mills High School                                    ,"Martinsburg, WV 25404-7534                   ",25404, -77.890325,39.483025
2022,NY,,14223,,Nichols School                                              ,"Buffalo, NY 14216-3602                       ",14216, -78.861119,42.949615
2022,AL,,35242,,Westminster School At Oak Mt                                ,"Birmingham, AL 35242                         ",35242, -86.672084,33.425247
2022,MD,,21093,,McDonogh School                                             ,"Owings Mills, MD 21117-1009                  ",21117, -76.777976,39.427563
2022,CA,,94611,,Episcopal High School                                       ,"Alexandria, VA 22302-3004                    ",22302, -77.083132,38.827888
2022,MA,,2038,,Loomis Chaffee School                                       ,"Windsor, CT 06095-3028                       ",06095, -72.675082,41.871037
2022,IN,,46375,,The Culver Academies                                        ,"Culver, IN 46511-1234                        ",46511, -86.426977,41.219420
2022,GA,,31220,,Stratford Academy                                           ,"Macon, GA 31220-3938                         ",31220, -83.809688,32.872019
2022,GA,,30305,,Pace Academy                                                ,"Atlanta, GA 30327-2648                       ",30327, -84.417300,33.869694
2022,NC,,28104,,Weddington High School                                      ,"Matthews, NC 28104                           ",28104, -80.692836,35.060568
2022,NJ,,7670,,Tenafly High School                                         ,"Tenafly, NJ 07670                            ",07670, -73.950523,40.918309
2022,DC,,20016,,Sidwell Friends School                                      ,"Washington, DC 20016-2999                    ",20016, -77.090014,38.936930
2022,TX,,77005,,Episcopal High School                                       ,"Bellaire, TX 77401-3002                      ",77401, -95.460905,29.704019
2022,KY,,42104,,Bowling Green High School                                   ,"Bowling Green, KY 42104-3395                 ",42104, -86.451190,36.876864
2022,WV,,25705,,Cabell-Midland High School                                  ,"Ona, WV 25545-9712                           ",25545, -82.217439,38.458992
2022,NJ,,7090,,Westfield High School                                       ,"Westfield, NJ 07090-3302                     ",07090, -74.343447,40.651644
2022,KS,,66208,,Saint Georges School                                        ,"Middletown, RI 02842-5963                    ",02842, -71.281685,41.518673
2022,CT,,6903,,Westhill High School                                        ,"Stamford, CT 06902-1295                      ",06902, -73.544384,41.059347
2022,NY,,11725,,Saint John Baptist Diocesan HS                              ,"West Islip, NY 11795-4928                    ",11795, -73.296337,40.709005
2022,AR,,72712,,Haas Hall Academy                                           ,"Fayetteville, AR 72703-3500                  ",72703, -94.043243,36.118332
2022,AR,,72022,,Arkansas School For Mathematic                              ,"Hot Springs, AR 71901                        ",71901, -92.974072,34.526453
2022,SC,,29206,,A C Flora High School                                       ,"Forest Acres, SC 29204                       ",29204, -81.002526,34.029148
2022,NY,,11724,,Cold Spring Harbor High School                              ,"Cold Spring Hrbr, NY 11724-1799              ",11724, -73.456381,40.864221
2022,OR,,97302,,                                                            ,                                             ,,,
2022,VA,VIRGINIA BEACH CITY,23451,,Norfolk Academy                                             ,"Norfolk, VA 23502-5512                       ",23502, -76.204908,36.860941
2022,WV,,26003,,Wheeling Park High School                                   ,"Wheeling, WV 26003                           ",26003, -80.647242,40.070163
2022,IL,,60010,,Barrington High School                                      ,"Barrington, IL 60010-3015                    ",60010, -88.164651,42.146494
2022,NC,,28211,,Thacher School The                                          ,"Ojai, CA 93023-8304                          ",93023,-119.310133,34.530199
2022,CA,,91106,,Polytechnic School                                          ,"Pasadena, CA 91106-4042                      ",91106,-118.128658,34.139402
2022,NY,,11771,,Oyster Bay High School                                      ,"Oyster Bay, NY 11771-2402                    ",11771, -73.525020,40.872799
2022,MD,,21117,,Boys' Latin School Of Maryland                              ,"Baltimore, MD 21210-1241                     ",21210, -76.632685,39.359156
2022,WI,,53045,,Brookfield Central High School                              ,"Brookfield, WI 53005-5138                    ",53005, -88.098804,43.062401
2022,AR,,72205,,                                                            ,                                             ,,,
2022,LA,,70118,,Isidore Newman School                                       ,"New Orleans, LA 70115-5616                   ",70115, -90.102484,29.923930
2022,FL,,33629,,T R Robinson High School                                    ,"Tampa, FL 33616-1617                         ",33616, -82.535394,27.865136
2022,PA,,17603,,The Hill School                                             ,"Pottstown, PA 19464-5791                     ",19464, -75.615861,40.258928
2022,VA,ALBEMARLE,22901,,Saint Anne's-Belfield                                       ,"Charlottesvle, VA 22903-1716                 ",22903, -78.595060,38.006972
2022,LA,,70808,,University Laboratory School of L                           ,"Baton Rouge, LA 70803-0001                   ",70803, -91.177664,30.414317
2022,TX,,79423,,Lubbock High School                                         ,"Lubbock, TX 79401                            ",79401,-101.850444,33.588771
2022,NJ,,7928,,Chatham High School                                         ,"Chatham, NJ 07928-1838                       ",07928, -74.412612,40.725986
2022,VA,FAUQUIER,20198,,Fauquier High School                                        ,"Warrenton, VA 20186-3038                     ",20186, -77.851425,38.698141
2022,LA,,70471,,Mount Carmel Academy                                        ,"New Orleans, LA 70124-2341                   ",70124, -90.103919,30.007379
2022,CO,,80111,,Cherry Creek High School                                    ,"Englewood, CO 80111-1306                     ",80111,-104.877957,39.613005
2022,IN,,46239,,North Central High School                                   ,"Indianapolis, IN 46240-2345                  ",46240, -86.124634,39.906046
2022,MD,,21136,,Boys' Latin School Of Maryland                              ,"Baltimore, MD 21210-1241                     ",21210, -76.632685,39.359156
2022,GA,,30339,,Lovett School                                               ,"Atlanta, GA 30327-3009                       ",30327, -84.417300,33.869694
2022,VA,HANOVER,23192,,Fuqua School                                                ,"Farmville, VA 23901-0328                     ",23901, -78.420892,37.320924
2022,DE,,19803,,Archmere Academy                                            ,"Claymont, DE 19703-0130                      ",19703, -75.453853,39.801513
2022,TN,,38112,,Hutchison School                                            ,"Memphis, TN 38119-5314                       ",38119, -89.845385,35.079511
2022,WA,,98684,,Union High School                                           ,"Camas, WA 98607                              ",98607,-122.379611,45.642413
2022,FL,,33018,,Belleville Public Hs                                        ,"Belleville, NJ 07109-1807                    ",07109, -74.162353,40.794927
2022,VA,FAIRFAX COUNTY,22101,,McLean High School                                          ,"McLean, VA 22101-4305                        ",22101, -77.164882,38.940203
2022,WY,,83014,,Jackson Hole High School                                    ,"Jackson, WY 83001-0568                       ",83001,-110.629837,43.394562
2022,OK,,74019,,Lincoln Christian School                                    ,"Tulsa, OK 74116-2131                         ",74116, -95.842573,36.188756
2022,TX,,75013,,Episcopal School Of Dallas                                  ,"Dallas, TX 75229-6217                        ",75229, -96.864339,32.893295
2022,SC,,29464,,Porter-Gaud School                                          ,"Charleston, SC 29407-7524                    ",29407, -79.997803,32.798930
2022,VA,ROCKBRIDGE,24450,,Rockbridge County High School                               ,"Lexington, VA 24450-3718                     ",24450, -79.526578,37.778993
2022,VA,,24450,,Rockbridge County High School                               ,"Lexington, VA 24450-3718                     ",24450, -79.526578,37.778993
2022,PA,,15241,,Upper Saint Clair High School                               ,"Uppr St Clair, PA 15241-2331                 ",15241, -80.081412,40.333518
2022,NJ,,7069,,Oak Knoll School Of Holy Child                              ,"Summit, NJ 07901-2499                        ",07901, -74.366372,40.714923
2022,VA,ALBEMARLE,22903,,Western Albemarle High School                               ,"Crozet, VA 22932-3405                        ",22932, -78.696458,38.147507
2022,CA,,90274,,Palos Verdes Peninsula H S                                  ,"Rllng Hls Est, CA 90274-2300                 ",90274,-118.372454,33.780065
2022,WV,,25314,,George Washington High School                               ,"Charleston, WV 25314-2342                    ",25314, -81.640254,38.308083
2022,MD,,21060,,Laurel High School                                          ,"Laurel, MD 20707-9264                        ",20707, -76.879864,39.099155
2022,VA,HENRICO,23229,,Collegiate School                                           ,"Richmond, VA 23229-7709                      ",23229, -77.574165,37.586772
2022,SC,,29710,,Clover High School                                          ,"Clover, SC 29710-8551                        ",29710, -81.221471,35.106284
2022,PA,,19363,,Padua Academy                                               ,"Wilmington, DE 19806-4527                    ",19806, -75.564142,39.763305
2022,AL,,36532,,Bayside Academy                                             ,"Daphne, AL 36526-4484                        ",36526, -87.859918,30.611152
2022,MD,,21228,,Marriotts Ridge High School                                 ,"Marriottsville, MD 21104                     ",21104, -76.912757,39.346904
2022,TX,,75209,,Episcopal School Of Dallas                                  ,"Dallas, TX 75229-6217                        ",75229, -96.864339,32.893295
2022,SC,,29209,,A C Flora High School                                       ,"Forest Acres, SC 29204                       ",29204, -81.002526,34.029148
2022,VA,ROANOKE CITY,24015,,Patrick Henry High School                                   ,"Roanoke, VA 24015-3528                       ",24015, -79.981330,37.256760
2022,AZ,,86305,,Basis Prescott                                              ,"Prescott, AZ 86301-7806                      ",86301,-112.429033,34.587023
2022,TN,,37215,,Harpeth Hall School                                         ,"Nashville, TN 37215-2216                     ",37215, -86.834691,36.081868
2022,AL,,36111,,Montgomery Academy                                          ,"Montgomery, AL 36106-2736                    ",36106, -86.257585,32.352820
2022,TX,,77024,,Kinkaid School                                              ,"Houston, TX 77024-7504                       ",77024, -95.514203,29.772179
2022,GA,,30058,,Chamblee High School                                        ,"Chamblee, GA 30341-2143                      ",30341, -84.289532,33.888505
2022,,,,PAKISTAN,Aitchison College                                           ,                                             ,,,
2022,NY,,11786,,Shoreham-Wading River High Sch                              ,"Shoreham, NY 11786-9745                      ",11786, -72.886658,40.950485
2022,VA,FREDERICKSBURG CITY,22401,,James Monroe High School                                    ,"Fredericksburg, VA 22401-3340                ",22401, -77.486658,38.299272
2022,LA,,70118,,Metairie Park Country Day Sch                               ,"Metairie, LA 70005-4142                      ",70005, -90.134065,29.999416
2022,NC,,27527,,                                                            ,                                             ,,,
2022,TX,,77005,,Saint John's School                                         ,"Houston, TX 77019-5811                       ",77019, -95.409498,29.754150
2022,MA,,2324,,West Bridgewater High School                                ,"West Bridgewater, MA 02379-1614              ",02379, -71.026717,42.021617
2022,FL,,32034,,Fernandina Beach High School                                ,"Fernandina Beach, FL 32034-2741              ",32034, -81.491720,30.609692
2022,TX,,78852,,Eagle Pass High School                                      ,"Eagle Pass, TX 78852                         ",78852,-100.316678,28.729787
2022,TX,,78256,,Central Catholic High School                                ,"San Antonio, TX 78215-1785                   ",78215, -98.480515,29.441230
2022,TX,,77005,,Saint John's School                                         ,"Houston, TX 77019-5811                       ",77019, -95.409498,29.754150
2022,AL,,35244,,Westminster School At Oak Mt                                ,"Birmingham, AL 35242                         ",35242, -86.672084,33.425247
2022,PA,,17078,,Palmyra Area High School                                    ,"Palmyra, PA 17078-3447                       ",17078, -76.581080,40.287452
2022,NC,,28204,,Charlotte Catholic High School                              ,"Charlotte, NC 28226-3934                     ",28226, -80.822129,35.102697
2022,NJ,,7920,,Pingry School                                               ,"Basking Ridge, NJ 07920-2709                 ",07920, -74.564115,40.678994
2022,MS,,39581,,Mississippi School Math Sci                                 ,"Columbus, MS 39701                           ",39701, -88.504719,33.393933
2022,MD,,20854,,Bullis School                                               ,"Potomac, MD 20854-4496                       ",20854, -77.220830,39.032772
2022,VA,ROCKBRIDGE,24450,,Mason Classical Academy                                     ,"Naples, FL 34104-6144                        ",34104, -81.741562,26.149955
2022,VA,CHARLOTTESVILLE CITY,22903,,Woodberry Forest School                                     ,"Woodberry For, VA 22989-8002                 ",22989, -78.131074,38.288665
2022,KY,,40056,,Louisville Collegiate School                                ,"Louisville, KY 40204-0369                    ",40204, -85.721591,38.239913
2022,GA,,31419,,Savannah Country Day School                                 ,"Savannah, GA 31419-2643                      ",31419, -81.230649,31.997154
2022,VA,DANVILLE CITY,24541,,George Washington High School                               ,"Danville, VA 24541-2627                      ",24541, -79.515100,36.588822
2022,MA,,2332,,Duxbury High School                                         ,"Duxbury, MA 02332-3845                       ",02332, -70.706075,42.044325
2022,TX,,75209,,Episcopal School Of Dallas                                  ,"Dallas, TX 75229-6217                        ",75229, -96.864339,32.893295
2022,FL,,33611,,T R Robinson High School                                    ,"Tampa, FL 33616-1617                         ",33616, -82.535394,27.865136
2022,MD,,20854,,Georgetown Visitation Prep Sch                              ,"Washington, DC 20007-2728                    ",20007, -77.079339,38.914363
2022,GA,,30350,,Marist School                                               ,"Atlanta, GA 30319-5104                       ",30319, -84.334763,33.875954
2022,NJ,,8558,,Stuart Country Day Sc Sac Hrt                               ,"Princeton, NJ 08540-1219                     ",08540, -74.655321,40.363010
2022,AL,,35763,,Huntsville High School                                      ,"Huntsville, AL 35801-5201                    ",35801, -86.560866,34.725269
2022,SC,,29369,,Darlington School                                           ,"Rome, GA 30161-4701                          ",30161, -85.171371,34.242301
2022,GA,,30750,,Girls Preparatory School                                    ,"Chattanooga, TN 37405-4217                   ",37405, -85.407828,35.120403
2022,GA,,31792,,Brookwood School                                            ,"Thomasville, GA 31792-7176                   ",31792, -84.043704,30.770798
2022,VA,ALBEMARLE,22936,,Deerfield Academy                                           ,"Deerfield, MA 01342-5002                     ",01342, -72.609458,42.543889
2022,TX,,75205,,Parish Episcopal School                                     ,"Dallas, TX 75244-4439                        ",75244, -96.836334,32.925367
2022,NJ,,7950,,Parsippany Hills High School                                ,"Parsippany, NJ 07054-3820                    ",07054, -74.401636,40.853739
2022,NY,,13031,,Christian Brothers Academy                                  ,"Syracuse, NY 13214-0604                      ",13214, -76.075591,43.038709
2022,PA,,19087,,Harriton High School Of Lower Mer                           ,"Bryn Mawr, PA 19010-1773                     ",19010, -75.329727,40.023624
2022,VA,ALBEMARLE,22901,,Western Albemarle High School                               ,"Crozet, VA 22932-3405                        ",22932, -78.696458,38.147507
2022,VA,LEXINGTON CITY,24450,,Rockbridge County High School                               ,"Lexington, VA 24450-3718                     ",24450, -79.526578,37.778993
2022,TX,,77077,,High School Perform & Vis Arts                              ,"Houston, TX 77006-4948                       ",77006, -95.391301,29.740970
2022,NJ,,7940,,Madison High School                                         ,"Madison, NJ 07940-1295                       ",07940, -74.419181,40.760175
2022,VA,HAMPTON CITY,23669,,Kecoughtan High School                                      ,"Hampton, VA 23669-1762                       ",23669, -76.342873,37.050277
2022,TX,,77019,,                                                            ,                                             ,,,
2022,MI,,48439,,Grand Blanc Community School                                ,"Grand Blanc, MI 48439-1868                   ",48439, -83.629374,42.916399
2022,PA,,15923,,Ligonier Valley High School                                 ,"Ligonier, PA 15658-8744                      ",15658, -79.230681,40.247834
2022,OH,,44256,,Highland High School                                        ,"Medina, OH 44256-8619                        ",44256, -81.860559,41.139872
2022,WI,,53217,,University School Milwaukee                                 ,"Milwaukee, WI 53217-1599                     ",53217, -87.913225,43.158204
2022,VA,CHESTERFIELD,23113,,Saint Christophers School                                   ,"Richmond, VA 23226                           ",23226, -77.523347,37.579912
2022,OK,,73533,,Duncan High School                                          ,"Duncan, OK 73534-1548                        ",73534,,
2022,OH,,43028,,East Knox Local School                                      ,"Howard, OH 43028-0128                        ",43028, -82.297266,40.401712
2022,PA,,19474,,Perkiomen Valley High School                                ,"Collegeville, PA 19426-1832                  ",19426, -75.437052,40.191299
2022,MA,,2067,,Sharon High School                                          ,"Sharon, MA 02067                             ",02067, -71.181828,42.107600
2022,KY,,40383,,Lexington Catholic High School                              ,"Lexington, KY 40503-1797                     ",40503, -84.533469,38.005828
2022,OH,,44140,,Bay High School                                             ,"Bay Village, OH 44140-1809                   ",44140, -81.931435,41.487794
2022,,,,INDIA,UWC Robert Bosch College                                    ,                                             ,,,
2022,GA,,30677,,Oconee County High School                                   ,"Watkinsville, GA 30677-4818                  ",30677, -83.373342,33.783202
2022,PA,,15228,,Mount Lebanon High School                                   ,"Pittsburgh, PA 15228-1360                    ",15228, -80.044135,40.370667
2022,IA,,50010,,Ames High School                                            ,"Ames, IA 50010-5199                          ",50010, -93.588400,42.030852
2022,TN,,38355,,Madison Academic Magnet Hs                                  ,"Jackson, TN 38301                            ",38301, -88.853395,35.588164
2022,TX,,75229,,Episcopal School Of Dallas                                  ,"Dallas, TX 75229-6217                        ",75229, -96.864339,32.893295
2022,PA,,17603,,Jp Mccaskey High School East                                ,"Lancaster, PA 17602                          ",17602, -76.246351,40.014623
2022,PA,,19380,,Westtown School                                             ,"West Chester, PA 19382-5700                  ",19382, -75.613166,39.927665
2022,NC,,27615,,Saint Marys School                                          ,"Raleigh, NC 27603-1610                       ",27603, -78.652751,35.664418
2022,NC,,27106,,Ronald Wilson Reagan High Sch                               ,"Pfafftown, NC 27040-9258                     ",27040, -80.393045,36.169312
2022,AR,,72212,,Pulaski Academy                                             ,"Little Rock, AR 72212-3399                   ",72212, -92.415028,34.785888
2022,WA,,98501,,Olympia High School                                         ,"Olympia, WA 98501-3612                       ",98501,-122.875987,46.974504
2022,MO,,63304,,Nova International Schools                                  ,                                             ,,,
2022,LA,,70124,,Metairie Park Country Day Sch                               ,"Metairie, LA 70005-4142                      ",70005, -90.134065,29.999416
