Class,Home State,Virginia County,Home Zip,Home Country,High School Attended                                        ,High School  CSZ                             
2022,FL,,33018,,Belleville Public Hs                                        ,"Belleville, NJ 07109-1807                    "
2022,VA,FAIRFAX COUNTY,22101,,McLean High School                                          ,"McLean, VA 22101-4305                        "
2022,WY,,83014,,Jackson Hole High School                                    ,"Jackson, WY 83001-0568                       "
2022,OK,,74019,,Lincoln Christian School                                    ,"Tulsa, OK 74116-2131                         "
2022,TX,,75013,,Episcopal School Of Dallas                                  ,"Dallas, TX 75229-6217                        "
2022,SC,,29464,,Porter-Gaud School                                          ,"Charleston, SC 29407-7524                    "
2022,VA,ROCKBRIDGE,24450,,Rockbridge County High School                               ,"Lexington, VA 24450-3718                     "
2022,VA,,24450,,Rockbridge County High School                               ,"Lexington, VA 24450-3718                     "
2022,PA,,15241,,Upper Saint Clair High School                               ,"Uppr St Clair, PA 15241-2331                 "
2022,NJ,,7069,,Oak Knoll School Of Holy Child                              ,"Summit, NJ 07901-2499                        "
2022,VA,ALBEMARLE,22903,,Western Albemarle High School                               ,"Crozet, VA 22932-3405                        "
2022,CA,,90274,,Palos Verdes Peninsula H S                                  ,"Rllng Hls Est, CA 90274-2300                 "
2022,WV,,25314,,George Washington High School                               ,"Charleston, WV 25314-2342                    "
2022,MD,,21060,,Laurel High School                                          ,"Laurel, MD 20707-9264                        "
2022,VA,HENRICO,23229,,Collegiate School                                           ,"Richmond, VA 23229-7709                      "
2022,SC,,29710,,Clover High School                                          ,"Clover, SC 29710-8551                        "
2022,PA,,19363,,Padua Academy                                               ,"Wilmington, DE 19806-4527                    "
2022,AL,,36532,,Bayside Academy                                             ,"Daphne, AL 36526-4484                        "
2022,MD,,21228,,Marriotts Ridge High School                                 ,"Marriottsville, MD 21104                     "
2022,TX,,75209,,Episcopal School Of Dallas                                  ,"Dallas, TX 75229-6217                        "
2022,SC,,29209,,A C Flora High School                                       ,"Forest Acres, SC 29204                       "
2022,VA,ROANOKE CITY,24015,,Patrick Henry High School                                   ,"Roanoke, VA 24015-3528                       "
2022,AZ,,86305,,Basis Prescott                                              ,"Prescott, AZ 86301-7806                      "
2022,TN,,37215,,Harpeth Hall School                                         ,"Nashville, TN 37215-2216                     "
2022,AL,,36111,,Montgomery Academy                                          ,"Montgomery, AL 36106-2736                    "
2022,TX,,77024,,Kinkaid School                                              ,"Houston, TX 77024-7504                       "
2022,GA,,30058,,Chamblee High School                                        ,"Chamblee, GA 30341-2143                      "
2022,,,,PAKISTAN,Aitchison College                                           ,                                             
2022,NY,,11786,,Shoreham-Wading River High Sch                              ,"Shoreham, NY 11786-9745                      "
2022,VA,FREDERICKSBURG CITY,22401,,James Monroe High School                                    ,"Fredericksburg, VA 22401-3340                "
2022,LA,,70118,,Metairie Park Country Day Sch                               ,"Metairie, LA 70005-4142                      "
2022,NC,,27527,,                                                            ,                                             
2022,TX,,77005,,Saint John's School                                         ,"Houston, TX 77019-5811                       "
2022,MA,,2324,,West Bridgewater High School                                ,"West Bridgewater, MA 02379-1614              "
2022,FL,,32034,,Fernandina Beach High School                                ,"Fernandina Beach, FL 32034-2741              "
2022,TX,,78852,,Eagle Pass High School                                      ,"Eagle Pass, TX 78852                         "
2022,TX,,78256,,Central Catholic High School                                ,"San Antonio, TX 78215-1785                   "
2022,TX,,77005,,Saint John's School                                         ,"Houston, TX 77019-5811                       "
2022,AL,,35244,,Westminster School At Oak Mt                                ,"Birmingham, AL 35242                         "
2022,PA,,17078,,Palmyra Area High School                                    ,"Palmyra, PA 17078-3447                       "
2022,NC,,28204,,Charlotte Catholic High School                              ,"Charlotte, NC 28226-3934                     "
2022,NJ,,7920,,Pingry School                                               ,"Basking Ridge, NJ 07920-2709                 "
2022,MS,,39581,,Mississippi School Math Sci                                 ,"Columbus, MS 39701                           "
2022,MD,,20854,,Bullis School                                               ,"Potomac, MD 20854-4496                       "
2022,VA,ROCKBRIDGE,24450,,Mason Classical Academy                                     ,"Naples, FL 34104-6144                        "
2022,VA,CHARLOTTESVILLE CITY,22903,,Woodberry Forest School                                     ,"Woodberry For, VA 22989-8002                 "
2022,KY,,40056,,Louisville Collegiate School                                ,"Louisville, KY 40204-0369                    "
2022,GA,,31419,,Savannah Country Day School                                 ,"Savannah, GA 31419-2643                      "
2022,VA,DANVILLE CITY,24541,,George Washington High School                               ,"Danville, VA 24541-2627                      "
2022,MA,,2332,,Duxbury High School                                         ,"Duxbury, MA 02332-3845                       "
2022,TX,,75209,,Episcopal School Of Dallas                                  ,"Dallas, TX 75229-6217                        "
2022,FL,,33611,,T R Robinson High School                                    ,"Tampa, FL 33616-1617                         "
2022,MD,,20854,,Georgetown Visitation Prep Sch                              ,"Washington, DC 20007-2728                    "
2022,GA,,30350,,Marist School                                               ,"Atlanta, GA 30319-5104                       "
2022,NJ,,8558,,Stuart Country Day Sc Sac Hrt                               ,"Princeton, NJ 08540-1219                     "
2022,AL,,35763,,Huntsville High School                                      ,"Huntsville, AL 35801-5201                    "
2022,SC,,29369,,Darlington School                                           ,"Rome, GA 30161-4701                          "
2022,GA,,30750,,Girls Preparatory School                                    ,"Chattanooga, TN 37405-4217                   "
2022,GA,,31792,,Brookwood School                                            ,"Thomasville, GA 31792-7176                   "
2022,VA,ALBEMARLE,22936,,Deerfield Academy                                           ,"Deerfield, MA 01342-5002                     "
2022,TX,,75205,,Parish Episcopal School                                     ,"Dallas, TX 75244-4439                        "
2022,NJ,,7950,,Parsippany Hills High School                                ,"Parsippany, NJ 07054-3820                    "
2022,NY,,13031,,Christian Brothers Academy                                  ,"Syracuse, NY 13214-0604                      "
2022,PA,,19087,,Harriton High School Of Lower Mer                           ,"Bryn Mawr, PA 19010-1773                     "
2022,VA,ALBEMARLE,22901,,Western Albemarle High School                               ,"Crozet, VA 22932-3405                        "
2022,VA,LEXINGTON CITY,24450,,Rockbridge County High School                               ,"Lexington, VA 24450-3718                     "
2022,TX,,77077,,High School Perform & Vis Arts                              ,"Houston, TX 77006-4948                       "
2022,NJ,,7940,,Madison High School                                         ,"Madison, NJ 07940-1295                       "
2022,VA,HAMPTON CITY,23669,,Kecoughtan High School                                      ,"Hampton, VA 23669-1762                       "
2022,TX,,77019,,                                                            ,                                             
2022,MI,,48439,,Grand Blanc Community School                                ,"Grand Blanc, MI 48439-1868                   "
2022,PA,,15923,,Ligonier Valley High School                                 ,"Ligonier, PA 15658-8744                      "
2022,OH,,44256,,Highland High School                                        ,"Medina, OH 44256-8619                        "
2022,WI,,53217,,University School Milwaukee                                 ,"Milwaukee, WI 53217-1599                     "
2022,VA,CHESTERFIELD,23113,,Saint Christophers School                                   ,"Richmond, VA 23226                           "
2022,OK,,73533,,Duncan High School                                          ,"Duncan, OK 73534-1548                        "
2022,OH,,43028,,East Knox Local School                                      ,"Howard, OH 43028-0128                        "
2022,PA,,19474,,Perkiomen Valley High School                                ,"Collegeville, PA 19426-1832                  "
2022,MA,,2067,,Sharon High School                                          ,"Sharon, MA 02067                             "
2022,KY,,40383,,Lexington Catholic High School                              ,"Lexington, KY 40503-1797                     "
2022,OH,,44140,,Bay High School                                             ,"Bay Village, OH 44140-1809                   "
2022,,,,INDIA,UWC Robert Bosch College                                    ,                                             
2022,GA,,30677,,Oconee County High School                                   ,"Watkinsville, GA 30677-4818                  "
2022,PA,,15228,,Mount Lebanon High School                                   ,"Pittsburgh, PA 15228-1360                    "
2022,IA,,50010,,Ames High School                                            ,"Ames, IA 50010-5199                          "
2022,TN,,38355,,Madison Academic Magnet Hs                                  ,"Jackson, TN 38301                            "
2022,TX,,75229,,Episcopal School Of Dallas                                  ,"Dallas, TX 75229-6217                        "
2022,PA,,17603,,Jp Mccaskey High School East                                ,"Lancaster, PA 17602                          "
2022,PA,,19380,,Westtown School                                             ,"West Chester, PA 19382-5700                  "
2022,NC,,27615,,Saint Marys School                                          ,"Raleigh, NC 27603-1610                       "
2022,NC,,27106,,Ronald Wilson Reagan High Sch                               ,"Pfafftown, NC 27040-9258                     "
2022,AR,,72212,,Pulaski Academy                                             ,"Little Rock, AR 72212-3399                   "
2022,WA,,98501,,Olympia High School                                         ,"Olympia, WA 98501-3612                       "
2022,MO,,63304,,Nova International Schools                                  ,                                             
2022,LA,,70124,,Metairie Park Country Day Sch                               ,"Metairie, LA 70005-4142                      "
2022,CA,,95020,,                                                            ,                                             
2022,WV,,25303,,Charleston Catholic High Sch                                ,"Charleston, WV 25301-2831                    "
2022,TX,,78259,,Claudia Taylor Ladybird Johnso                              ,"San Antonio, TX 78259-2203                   "
2022,VA,FAIRFAX COUNTY,22307,,Georgetown Visitation Prep Sch                              ,"Washington, DC 20007-2728                    "
2022,VA,SUFFOLK CITY,23435,,Nansemond River High School                                 ,"Suffolk, VA 23434-2046                       "
2022,NC,,28658,,Fred T Foard High School                                    ,"Newton, NC 28658                             "
2022,AL,,35213,,Mountain Brook High School                                  ,"Mountain Brk, AL 35223-1420                  "
2022,,,,BELARUS,                                                            ,                                             
2022,MN,,56071,,New Prague High School                                      ,"New Prague, MN 56071-2067                    "
2022,CT,,6460,,Joseph a Foran High School                                  ,"Milford, CT 06460                            "
2022,CT,,6840,,New Canaan High School                                      ,"New Canaan, CT 06840-6626                    "
2022,FL,,32205,,Episcopal School Of Jacksonville                            ,"Jacksonville, FL 32207-2121                  "
2022,PA,,19002,,Chestnut Hill Academy                                       ,"Philadelphia, PA 19118-4198                  "
2022,NY,,10607,,Fordham Preparatory School                                  ,"Bronx, NY 10458-5149                         "
2022,NJ,,7976,,Delbarton School                                            ,"Morristown, NJ 07960-5089                    "
2022,NJ,,7922,,Governor Livingston High Sch                                ,"Berkeley Heights, NJ 07922-1850              "
2022,VA,MANASSAS CITY,20110,,Home School Clearinghouse (Intern                           ,"New York, NY 10023                           "
2022,NC,,27608,,Saint Marys School                                          ,"Raleigh, NC 27603-1610                       "
2022,CA,,92677,,Saint Margarets Episcopal Sch                               ,"San Juan Capistr, CA 92675-2752              "
2022,VA,STAFFORD,22406,,Colonial Forge High School                                  ,"Stafford, VA 22554                           "
2022,NY,,11771,,Friends Academy                                             ,"Locust Valley, NY 11560-2429                 "
2022,MN,,55340,,Orono High School                                           ,"Long Lake, MN 55356-9594                     "
2022,AL,,36078,,Auburn High School                                          ,"Auburn, AL 36830-6201                        "
2022,FL,,32233,,Duncan U Fletcher Hs                                        ,"Neptune Beach, FL 32266-3599                 "
2022,MS,,39211,,Jackson Academy                                             ,"Jackson, MS 39211-5422                       "
2022,MD,,21093,,Boys' Latin School Of Maryland                              ,"Baltimore, MD 21210-1241                     "
2022,NC,,28211,,Myers Park High School                                      ,"Charlotte, NC 28209-1716                     "
2022,VA,SPOTSYLVANIA,22407,,Courtland High School                                       ,"Spotsylvania, VA 22553-1803                  "
2022,GA,,30013,,Rockdale County High School                                 ,"Conyers, GA 30207-4708                       "
2022,CO,,80113,,Kent Denver School                                          ,"Englewood, CO 80113-4916                     "
2022,NY,,12054,,Bethlehem Central High School                               ,"Delmar, NY 12054-2436                        "
2022,SC,,29483,,Episcopal High School                                       ,"Alexandria, VA 22302-3004                    "
2022,VA,ALBEMARLE,22911,,Saint Anne's-Belfield                                       ,"Charlottesvle, VA 22903-1716                 "
2022,VA,ROANOKE COUNTY,24018,,Cave Spring High School                                     ,"Roanoke, VA 24018-4839                       "
2022,NC,,28650,,North Lincoln High School                                   ,"Lincolnton, NC 28092                         "
2022,AL,,35243,,Vestavia Hills High School                                  ,"Vestavia Hills, AL 35216-3314                "
2022,OK,,73112,,Oklahoma School Of Sci & Math                               ,"Oklahoma City, OK 73104-2847                 "
2022,MO,,64640,,Gallatin R-V High School                                    ,"Gallatin, MO 64640                           "
2022,VA,ROCKINGHAM,22801,,                                                            ,                                             
2022,NJ,,7920,,Ridge High School                                           ,"Basking Ridge, NJ 07920-1435                 "
2022,SC,,29605,,Christ Church Episcopal School                              ,"Greenville, SC 29607-4241                    "
2022,CT,,6443,,Daniel Hand High School                                     ,"Madison, CT 06443-2299                       "
2022,VA,HENRICO,23229,,Douglas S Freeman High School                               ,"Henrico, VA 23229                            "
2022,TX,,75230,,Saint Marks School Of Texas                                 ,"Dallas, TX 75230-4047                        "
2022,CT,,6516,,Cooperative Arts Human Magnet                               ,"New Haven, CT 06510-2410                     "
2022,RI,,2916,,Bishop Hendricken High School                               ,"Warwick, RI 02889-4224                       "
2022,GA,,30339,,Atlanta International School                                ,"Atlanta, GA 30305-3155                       "
2022,AZ,,85234,,Gilbert High School                                         ,"Gilbert, AZ 85296                            "
2022,CT,,6870,,Brunswick School                                            ,"Greenwich, CT 06830-5618                     "
2022,MA,,2563,,Boston College High School                                  ,"Dorchester, MA 02125-3391                    "
2022,IN,,47720,,Mater Dei High School                                       ,"Evansville, IN 47720-6148                    "
2022,MA,,2066,,Scituate High School                                        ,"Scituate, MA 02066                           "
2022,VA,FAIRFAX COUNTY,22310,,Home School Clearinghouse (Intern                           ,"New York, NY 10023                           "
2022,CO,,80206,,Kent Denver School                                          ,"Englewood, CO 80113-4916                     "
2022,TN,,37064,,Fred J Page High School                                     ,"Franklin, TN 37064-7902                      "
2022,OR,,97701,,Mountain View High School                                   ,"Bend, OR 97701-9539                          "
2022,SC,,29209,,Heathwood Hall Episcopal Sch                                ,"Columbia, SC 29201-5130                      "
2022,NJ,,7090,,Westfield High School                                       ,"Westfield, NJ 07090-3302                     "
2022,VA,CHARLOTTESVILLE CITY,22901,,Charlottesville High School                                 ,"Charlottesville, VA 22901-3148               "
2022,SD,,57719,,Sturgis Brown High School                                   ,"Sturgis, SD 57785-6400                       "
2022,CT,,6820,,Darien High School                                          ,"Darien, CT 06820-3331                        "
2022,TX,,76109,,Fort Worth Country Day School                               ,"Fort Worth, TX 76109-4201                    "
2022,,,,VIETNAM,                                                            ,                                             
2022,OR,,97236,,David Douglas High School                                   ,"Portland, OR 97233-1924                      "
2022,AZ,,85249,,Basha High School                                           ,"Chandler, AZ 85249                           "
2022,MA,,2140,,Middlesex School                                            ,"Concord, MA 01742-9122                       "
2022,AZ,,85718,,Peddie School                                               ,"Hightstown, NJ 08520-3352                    "
2022,IL,,60047,,Adlai E Stevenson High School                               ,"Lincolnshire, IL 60069                       "
2022,CO,,80305,,Fairview High School                                        ,"Boulder, CO 80305                            "
2022,AL,,36607,,Ums Wright Preparatory School                               ,"Mobile, AL 36607-3140                        "
2022,IL,,60565,,Naperville Central High School                              ,"Naperville, IL 60540-6266                    "
2022,VA,HENRICO,23229,,Douglas S Freeman High School                               ,"Henrico, VA 23229                            "
2022,GA,,30338,,Holy Innocents Episcopal Sch                                ,"Atlanta, GA 30327-4338                       "
2022,SC,,29302,,Spartanburg Day School                                      ,"Spartanburg, SC 29307-1037                   "
