Class,Home State,HighSchool,zip,long,lat
2022,NC,Cannon School                                               ,28027,-80.685957,35.406991
2022,VA,Magna Vista High School                                     ,24148,-79.877967,36.579801
2022,AL,Montgomery Academy                                          ,36106,-86.257585,32.35282
2022,TX,Tuloso-Midway High School                                   ,78410,-97.596306,27.838247
2022,VA,Saint Anne's-Belfield                                       ,22903,-78.59506,38.006972
2022,KY,Deerfield Academy                                           ,1342,-72.609458,42.543889
2022,MA,Middlesex School                                            ,1742,-71.364496,42.462911
2022,AL,Mountain Brook High School                                  ,35223,-86.734834,33.488141
2022,SC,Porter-Gaud School                                          ,29407,-79.997803,32.79893
2022,VA,Hermitage High School                                       ,23228,-77.492834,37.626617
2022,GA,Rabun Gap-Nacoochee School                                  ,30568,-83.432795,34.959487
2022,VA,Poquoson High School                                        ,23662,-76.353027,37.133319
2022,VA,Pope John Paul The Great Cath                               ,22026,-77.296214,38.560041
2022,VA,Yorktown High School                                        ,22207,-77.124238,38.906665
2022,VA,Hermitage High School                                       ,23228,-77.492834,37.626617
2022,MI,Fowlerville High School                                     ,48836,-84.076583,42.669319
2022,IN,Glenwood Senior High School                                 ,62629,-89.716922,39.677477
2022,NJ,Bishop Eustace Preparatory Sch                              ,8109,-75.050129,39.951291
2022,CA,Mayfield Senior School                                      ,91105,-118.166649,34.13946
2022,VA,McLean High School                                          ,22101,-77.164882,38.940203
2022,NC,Forsyth Country Day School                                  ,27023,-80.456712,36.089784
2022,CA,Coronado High School                                        ,92118,-117.209642,32.699234
2022,VA,ACPS/T.C. Williams High School                              ,22302,-77.083132,38.827888
2022,VA,Cape Henry Collegiate School                                ,23454,-76.030835,36.818062
2022,GA,Walker School                                               ,30062,-84.468945,34.005578
2022,FL,Saint Andrews School                                        ,33434,-80.167138,26.382712
2022,OH,Lakota East High School                                     ,45044,-84.410243,39.482404
2022,VA,                                                            ,,,
2022,NC,Charlotte Latin School                                      ,28277,-80.817552,35.052875
2022,GA,New School                                                  ,30307,-84.3336,33.771079
2022,VA,Radford High School                                         ,24141,-80.568655,37.096142
2022,MA,Stoughton High School                                       ,2072,-71.10365,42.119006
2022,OR,Cascade Christian High School                               ,97504,-122.800496,42.327947
2022,TN,Dobyns Bennett High School                                  ,37664,-82.498988,36.520428
2022,NJ,Seton Hall Preparatory School                               ,7052,-74.265059,40.785753
2022,FL,John A Ferguson Senior Hs                                   ,33185,-80.450733,25.726359
2022,CT,Fairfield Warde High School                                 ,6825,-73.243254,41.196583
2022,PA,Conestoga High School                                       ,19312,-75.454948,40.031291
2022,MA,Saint Marys High School                                     ,1610,-71.808366,42.247049
2022,NY,Bronxville High School                                      ,10708,-73.829922,40.938267
2022,TX,Saint Marks School Of Texas                                 ,75230,-96.793393,32.902679
2022,VA,Ocean Lakes High School                                     ,23454,-76.030835,36.818062
2022,TX,Highland Park High School                                   ,75205,-96.795514,32.835893
2022,PA,Haverford School                                            ,19041,-75.315837,40.007406
2022,PA,North Penn High School                                      ,19446,-75.303915,40.232327
2022,NC,New Visions Charter High School F                           ,10463,-73.90654,40.880678
2022,SC,Heathwood Hall Episcopal Sch                                ,29201,-81.028098,33.982484
2022,NE,Lewis Central High School                                   ,51503,-95.784481,41.22322
2022,OH,Springboro High School                                      ,45066,-84.224353,39.551158
2022,WV,Spring Mills High School                                    ,25404,-77.890325,39.483025
2022,NY,Nichols School                                              ,14216,-78.861119,42.949615
2022,AL,Westminster School At Oak Mt                                ,35242,-86.672084,33.425247
2022,MD,McDonogh School                                             ,21117,-76.777976,39.427563
2022,CA,Episcopal High School                                       ,22302,-77.083132,38.827888
2022,MA,Loomis Chaffee School                                       ,6095,-72.675082,41.871037
2022,IN,The Culver Academies                                        ,46511,-86.426977,41.21942
2022,GA,Stratford Academy                                           ,31220,-83.809688,32.872019
2022,GA,Pace Academy                                                ,30327,-84.4173,33.869694
2022,NC,Weddington High School                                      ,28104,-80.692836,35.060568
2022,NJ,Tenafly High School                                         ,7670,-73.950523,40.918309
2022,DC,Sidwell Friends School                                      ,20016,-77.090014,38.93693
2022,TX,Episcopal High School                                       ,77401,-95.460905,29.704019
2022,KY,Bowling Green High School                                   ,42104,-86.45119,36.876864
2022,WV,Cabell-Midland High School                                  ,25545,-82.217439,38.458992
2022,NJ,Westfield High School                                       ,7090,-74.343447,40.651644
2022,KS,Saint Georges School                                        ,2842,-71.281685,41.518673
2022,CT,Westhill High School                                        ,6902,-73.544384,41.059347
2022,NY,Saint John Baptist Diocesan HS                              ,11795,-73.296337,40.709005
2022,AR,Haas Hall Academy                                           ,72703,-94.043243,36.118332
2022,AR,Arkansas School For Mathematic                              ,71901,-92.974072,34.526453
2022,SC,A C Flora High School                                       ,29204,-81.002526,34.029148
2022,NY,Cold Spring Harbor High School                              ,11724,-73.456381,40.864221
2022,OR,                                                            ,,,
2022,VA,Norfolk Academy                                             ,23502,-76.204908,36.860941
2022,WV,Wheeling Park High School                                   ,26003,-80.647242,40.070163
2022,IL,Barrington High School                                      ,60010,-88.164651,42.146494
2022,NC,Thacher School The                                          ,93023,-119.310133,34.530199
2022,CA,Polytechnic School                                          ,91106,-118.128658,34.139402
2022,NY,Oyster Bay High School                                      ,11771,-73.52502,40.872799
2022,MD,Boys' Latin School Of Maryland                              ,21210,-76.632685,39.359156
2022,WI,Brookfield Central High School                              ,53005,-88.098804,43.062401
2022,AR,                                                            ,,,
2022,LA,Isidore Newman School                                       ,70115,-90.102484,29.92393
2022,FL,T R Robinson High School                                    ,33616,-82.535394,27.865136
2022,PA,The Hill School                                             ,19464,-75.615861,40.258928
2022,VA,Saint Anne's-Belfield                                       ,22903,-78.59506,38.006972
2022,LA,University Laboratory School of L                           ,70803,-91.177664,30.414317
2022,TX,Lubbock High School                                         ,79401,-101.850444,33.588771
2022,NJ,Chatham High School                                         ,7928,-74.412612,40.725986
2022,VA,Fauquier High School                                        ,20186,-77.851425,38.698141
2022,LA,Mount Carmel Academy                                        ,70124,-90.103919,30.007379
2022,CO,Cherry Creek High School                                    ,80111,-104.877957,39.613005
2022,IN,North Central High School                                   ,46240,-86.124634,39.906046
2022,MD,Boys' Latin School Of Maryland                              ,21210,-76.632685,39.359156
2022,GA,Lovett School                                               ,30327,-84.4173,33.869694
2022,VA,Fuqua School                                                ,23901,-78.420892,37.320924
2022,DE,Archmere Academy                                            ,19703,-75.453853,39.801513
2022,TN,Hutchison School                                            ,38119,-89.845385,35.079511
2022,WA,Union High School                                           ,98607,-122.379611,45.642413
2022,FL,Belleville Public Hs                                        ,7109,-74.162353,40.794927
2022,VA,McLean High School                                          ,22101,-77.164882,38.940203
2022,WY,Jackson Hole High School                                    ,83001,-110.629837,43.394562
2022,OK,Lincoln Christian School                                    ,74116,-95.842573,36.188756
2022,TX,Episcopal School Of Dallas                                  ,75229,-96.864339,32.893295
2022,SC,Porter-Gaud School                                          ,29407,-79.997803,32.79893
2022,VA,Rockbridge County High School                               ,24450,-79.526578,37.778993
2022,VA,Rockbridge County High School                               ,24450,-79.526578,37.778993
2022,PA,Upper Saint Clair High School                               ,15241,-80.081412,40.333518
2022,NJ,Oak Knoll School Of Holy Child                              ,7901,-74.366372,40.714923
2022,VA,Western Albemarle High School                               ,22932,-78.696458,38.147507
2022,CA,Palos Verdes Peninsula H S                                  ,90274,-118.372454,33.780065
2022,WV,George Washington High School                               ,25314,-81.640254,38.308083
2022,MD,Laurel High School                                          ,20707,-76.879864,39.099155
2022,VA,Collegiate School                                           ,23229,-77.574165,37.586772
2022,SC,Clover High School                                          ,29710,-81.221471,35.106284
2022,PA,Padua Academy                                               ,19806,-75.564142,39.763305
2022,AL,Bayside Academy                                             ,36526,-87.859918,30.611152
2022,MD,Marriotts Ridge High School                                 ,21104,-76.912757,39.346904
2022,TX,Episcopal School Of Dallas                                  ,75229,-96.864339,32.893295
2022,SC,A C Flora High School                                       ,29204,-81.002526,34.029148
2022,VA,Patrick Henry High School                                   ,24015,-79.98133,37.25676
2022,AZ,Basis Prescott                                              ,86301,-112.429033,34.587023
2022,TN,Harpeth Hall School                                         ,37215,-86.834691,36.081868
2022,AL,Montgomery Academy                                          ,36106,-86.257585,32.35282
2022,TX,Kinkaid School                                              ,77024,-95.514203,29.772179
2022,GA,Chamblee High School                                        ,30341,-84.289532,33.888505
2022,,Aitchison College                                           ,,,
2022,NY,Shoreham-Wading River High Sch                              ,11786,-72.886658,40.950485
2022,VA,James Monroe High School                                    ,22401,-77.486658,38.299272
2022,LA,Metairie Park Country Day Sch                               ,70005,-90.134065,29.999416
2022,NC,                                                            ,,,
2022,TX,Saint John's School                                         ,77019,-95.409498,29.75415
2022,MA,West Bridgewater High School                                ,2379,-71.026717,42.021617
2022,FL,Fernandina Beach High School                                ,32034,-81.49172,30.609692
2022,TX,Eagle Pass High School                                      ,78852,-100.316678,28.729787
2022,TX,Central Catholic High School                                ,78215,-98.480515,29.44123
2022,TX,Saint John's School                                         ,77019,-95.409498,29.75415
2022,AL,Westminster School At Oak Mt                                ,35242,-86.672084,33.425247
2022,PA,Palmyra Area High School                                    ,17078,-76.58108,40.287452
2022,NC,Charlotte Catholic High School                              ,28226,-80.822129,35.102697
2022,NJ,Pingry School                                               ,7920,-74.564115,40.678994
2022,MS,Mississippi School Math Sci                                 ,39701,-88.504719,33.393933
2022,MD,Bullis School                                               ,20854,-77.22083,39.032772
2022,VA,Mason Classical Academy                                     ,34104,-81.741562,26.149955
2022,VA,Woodberry Forest School                                     ,22989,-78.131074,38.288665
2022,KY,Louisville Collegiate School                                ,40204,-85.721591,38.239913
2022,GA,Savannah Country Day School                                 ,31419,-81.230649,31.997154
2022,VA,George Washington High School                               ,24541,-79.5151,36.588822
2022,MA,Duxbury High School                                         ,2332,-70.706075,42.044325
2022,TX,Episcopal School Of Dallas                                  ,75229,-96.864339,32.893295
2022,FL,T R Robinson High School                                    ,33616,-82.535394,27.865136
2022,MD,Georgetown Visitation Prep Sch                              ,20007,-77.079339,38.914363
2022,GA,Marist School                                               ,30319,-84.334763,33.875954
2022,NJ,Stuart Country Day Sc Sac Hrt                               ,8540,-74.655321,40.36301
2022,AL,Huntsville High School                                      ,35801,-86.560866,34.725269
2022,SC,Darlington School                                           ,30161,-85.171371,34.242301
2022,GA,Girls Preparatory School                                    ,37405,-85.407828,35.120403
2022,GA,Brookwood School                                            ,31792,-84.043704,30.770798
2022,VA,Deerfield Academy                                           ,1342,-72.609458,42.543889
2022,TX,Parish Episcopal School                                     ,75244,-96.836334,32.925367
2022,NJ,Parsippany Hills High School                                ,7054,-74.401636,40.853739
2022,NY,Christian Brothers Academy                                  ,13214,-76.075591,43.038709
2022,PA,Harriton High School Of Lower Mer                           ,19010,-75.329727,40.023624
2022,VA,Western Albemarle High School                               ,22932,-78.696458,38.147507
2022,VA,Rockbridge County High School                               ,24450,-79.526578,37.778993
2022,TX,High School Perform & Vis Arts                              ,77006,-95.391301,29.74097
2022,NJ,Madison High School                                         ,7940,-74.419181,40.760175
2022,VA,Kecoughtan High School                                      ,23669,-76.342873,37.050277
2022,TX,                                                            ,,,
2022,MI,Grand Blanc Community School                                ,48439,-83.629374,42.916399
2022,PA,Ligonier Valley High School                                 ,15658,-79.230681,40.247834
2022,OH,Highland High School                                        ,44256,-81.860559,41.139872
2022,WI,University School Milwaukee                                 ,53217,-87.913225,43.158204
2022,VA,Saint Christophers School                                   ,23226,-77.523347,37.579912
2022,OK,Duncan High School                                          ,73534,,
2022,OH,East Knox Local School                                      ,43028,-82.297266,40.401712
2022,PA,Perkiomen Valley High School                                ,19426,-75.437052,40.191299
2022,MA,Sharon High School                                          ,2067,-71.181828,42.1076
2022,KY,Lexington Catholic High School                              ,40503,-84.533469,38.005828
2022,OH,Bay High School                                             ,44140,-81.931435,41.487794
2022,,UWC Robert Bosch College                                    ,,,
2022,GA,Oconee County High School                                   ,30677,-83.373342,33.783202
2022,PA,Mount Lebanon High School                                   ,15228,-80.044135,40.370667
2022,IA,Ames High School                                            ,50010,-93.5884,42.030852
2022,TN,Madison Academic Magnet Hs                                  ,38301,-88.853395,35.588164
2022,TX,Episcopal School Of Dallas                                  ,75229,-96.864339,32.893295
2022,PA,Jp Mccaskey High School East                                ,17602,-76.246351,40.014623
2022,PA,Westtown School                                             ,19382,-75.613166,39.927665
2022,NC,Saint Marys School                                          ,27603,-78.652751,35.664418
2022,NC,Ronald Wilson Reagan High Sch                               ,27040,-80.393045,36.169312
2022,AR,Pulaski Academy                                             ,72212,-92.415028,34.785888
2022,WA,Olympia High School                                         ,98501,-122.875987,46.974504
2022,MO,Nova International Schools                                  ,,,
2022,LA,Metairie Park Country Day Sch                               ,70005,-90.134065,29.999416
2022,CA,                                                            ,,,
2022,WV,Charleston Catholic High Sch                                ,25301,-81.630359,38.350719
2022,TX,Claudia Taylor Ladybird Johnso                              ,78259,-98.427068,29.627214
2022,VA,Georgetown Visitation Prep Sch                              ,20007,-77.079339,38.914363
2022,VA,Nansemond River High School                                 ,23434,-76.592105,36.703003
2022,NC,Fred T Foard High School                                    ,28658,-81.235843,35.637619
2022,AL,Mountain Brook High School                                  ,35223,-86.734834,33.488141
2022,,                                                            ,,,
2022,MN,New Prague High School                                      ,56071,-93.579424,44.534971
2022,CT,Joseph a Foran High School                                  ,6460,-73.050812,41.214266
2022,CT,New Canaan High School                                      ,6840,-73.500124,41.160393
2022,FL,Episcopal School Of Jacksonville                            ,32207,-81.640966,30.289637
2022,PA,Chestnut Hill Academy                                       ,19118,-75.211217,40.073872
2022,NY,Fordham Preparatory School                                  ,10458,-73.888143,40.862543
2022,NJ,Delbarton School                                            ,7960,-74.500025,40.784201
2022,NJ,Governor Livingston High Sch                                ,7922,-74.425027,40.676393
2022,VA,Home School Clearinghouse (Intern                           ,10023,-73.982607,40.775921
2022,NC,Saint Marys School                                          ,27603,-78.652751,35.664418
2022,CA,Saint Margarets Episcopal Sch                               ,92675,-117.608646,33.50186
2022,VA,Colonial Forge High School                                  ,22554,-77.367672,38.427352
2022,NY,Friends Academy                                             ,11560,-73.588724,40.880757
2022,MN,Orono High School                                           ,55356,-93.58962,44.994245
2022,AL,Auburn High School                                          ,36830,-85.492645,32.53893
2022,FL,Duncan U Fletcher Hs                                        ,32266,-81.409066,30.317386
2022,MS,Jackson Academy                                             ,39211,-90.122605,32.372134
2022,MD,Boys' Latin School Of Maryland                              ,21210,-76.632685,39.359156
2022,NC,Myers Park High School                                      ,28209,-80.853985,35.178714
2022,VA,Courtland High School                                       ,22553,-77.649295,38.271202
2022,GA,Rockdale County High School                                 ,30207,,
2022,CO,Kent Denver School                                          ,80113,-104.965111,39.644445
2022,NY,Bethlehem Central High School                               ,12054,-73.864416,42.608547
2022,SC,Episcopal High School                                       ,22302,-77.083132,38.827888
2022,VA,Saint Anne's-Belfield                                       ,22903,-78.59506,38.006972
2022,VA,Cave Spring High School                                     ,24018,-80.041739,37.213055
2022,NC,North Lincoln High School                                   ,28092,-81.254558,35.485761
2022,AL,Vestavia Hills High School                                  ,35216,-86.789433,33.419246
2022,OK,Oklahoma School Of Sci & Math                               ,73104,-97.503918,35.47523
2022,MO,Gallatin R-V High School                                    ,64640,-93.936183,39.898401
2022,VA,                                                            ,,,
2022,NJ,Ridge High School                                           ,7920,-74.564115,40.678994
2022,SC,Christ Church Episcopal School                              ,29607,-82.331714,34.81279
2022,CT,Daniel Hand High School                                     ,6443,-72.624521,41.344481
2022,VA,Douglas S Freeman High School                               ,23229,-77.574165,37.586772
2022,TX,Saint Marks School Of Texas                                 ,75230,-96.793393,32.902679
2022,CT,Cooperative Arts Human Magnet                               ,6510,-72.926008,41.306517
2022,RI,Bishop Hendricken High School                               ,2889,-71.376927,41.700591
2022,GA,Atlanta International School                                ,30305,-84.389116,33.835696
2022,AZ,Gilbert High School                                         ,85296,-111.749802,33.332328
2022,CT,Brunswick School                                            ,6830,-73.624339,41.037605
2022,MA,Boston College High School                                  ,2125,-71.055555,42.315682
2022,IN,Mater Dei High School                                       ,47720,-87.641573,38.062897
2022,MA,Scituate High School                                        ,2066,-70.758184,42.202273
2022,VA,Home School Clearinghouse (Intern                           ,10023,-73.982607,40.775921
2022,CO,Kent Denver School                                          ,80113,-104.965111,39.644445
2022,TN,Fred J Page High School                                     ,37064,-86.954138,35.884862
2022,OR,Mountain View High School                                   ,97701,-121.20634,44.112338
2022,SC,Heathwood Hall Episcopal Sch                                ,29201,-81.028098,33.982484
2022,NJ,Westfield High School                                       ,7090,-74.343447,40.651644
2022,VA,Charlottesville High School                                 ,22901,-78.552744,38.087705
2022,SD,Sturgis Brown High School                                   ,57785,-103.133501,44.438809
2022,CT,Darien High School                                          ,6820,-73.48008,41.076202
2022,TX,Fort Worth Country Day School                               ,76109,-97.386965,32.70065
2022,,                                                            ,,,
2022,OR,David Douglas High School                                   ,97233,-122.502168,45.515307
2022,AZ,Basha High School                                           ,85249,-111.795717,33.224956
2022,MA,Middlesex School                                            ,1742,-71.364496,42.462911
2022,AZ,Peddie School                                               ,8520,-74.530078,40.255265
2022,IL,Adlai E Stevenson High School                               ,60069,-87.924704,42.196594
2022,CO,Fairview High School                                        ,80305,-105.248158,39.975334
2022,AL,Ums Wright Preparatory School                               ,36607,-88.10576,30.69856
2022,IL,Naperville Central High School                              ,60540,-88.145428,41.76467
2022,VA,Douglas S Freeman High School                               ,23229,-77.574165,37.586772
2022,GA,Holy Innocents Episcopal Sch                                ,30327,-84.4173,33.869694
2022,SC,Spartanburg Day School                                      ,29307,-81.831555,34.982716
2022,VA,Cave Spring High School                                     ,24018,-80.041739,37.213055
2022,TN,Harpeth Hall School                                         ,37215,-86.834691,36.081868
2022,NJ,Information Systems Academy                                 ,7631,-73.972515,40.891197
2022,NC,Kent School                                                 ,6757,-73.459799,41.743606
2022,CA,Sacred Heart Preparatory Sch                                ,94027,-122.204756,37.453514
2022,AK,A J Dimond High School                                      ,99502,-149.996609,61.163643
2022,VA,Huntsville High School                                      ,35801,-86.560866,34.725269
2022,TX,Episcopal High School                                       ,77401,-95.460905,29.704019
2022,VA,Rockbridge County High School                               ,24450,-79.526578,37.778993
2022,VA,Cape Henry Collegiate School                                ,23454,-76.030835,36.818062
2022,VA,Norfolk Academy                                             ,23502,-76.204908,36.860941
2022,GA,Episcopal High School                                       ,22302,-77.083132,38.827888
2022,MA,Winchester High School                                      ,1890,-71.144319,42.452752
2022,GA,Athens Academy                                              ,30604,,
2022,AL,The Altamont School                                         ,35222,-86.770115,33.523712
2022,VA,Patrick Henry High School                                   ,23005,-77.48187,37.759696
2022,NJ,Newark Academy                                              ,7039,-74.3291,40.785828
2022,NC,Myers Park High School                                      ,28209,-80.853985,35.178714
2022,GA,Holy Innocents Episcopal Sch                                ,30327,-84.4173,33.869694
2022,VA,Douglas S Freeman High School                               ,23229,-77.574165,37.586772
2022,TN,Montgomery Bell Academy                                     ,37205,-86.870442,36.113195
2022,ID,Idaho Fine Arts Academy                                     ,83616,-116.394918,43.775559
2022,OK,Norman High School                                          ,73069,-97.462408,35.249662
2022,AZ,Hamilton High School                                        ,85248,-111.869973,33.214955
2022,VA,Lake Braddock Secondary School                              ,22015,-77.278973,38.787814
2022,,                                                            ,,,
2022,WV,George Washington High School                               ,25314,-81.640254,38.308083
2022,VA,Collegiate School                                           ,23229,-77.574165,37.586772
2022,MI,Gull Lake High School                                       ,49083,-85.461128,42.37811
2022,GA,Episcopal High School                                       ,22302,-77.083132,38.827888
2022,TX,Episcopal School Of Dallas                                  ,75229,-96.864339,32.893295
2022,FL,Community School of Naples                                  ,34109,-81.763823,26.240842
2022,GA,Athens Academy                                              ,30604,,
2022,SC,Porter-Gaud School                                          ,29407,-79.997803,32.79893
2022,,                                                            ,,,
2022,KS,Pembroke Hill School the                                    ,64112,-94.59519,39.035975
2022,NJ,West Morris Central High Sch                                ,7930,-74.683945,40.781196
2022,MD,Walt Whitman High School                                    ,20817,-77.151816,38.997272
2022,KY,Sayre School                                                ,40507,-84.496353,38.046955
2022,MA,Duxbury High School                                         ,2332,-70.706075,42.044325
2022,OK,Booker T Washington High Sch                                ,74106,-95.98515,36.191942
2022,NJ,Mountain Lakes High School                                  ,7046,-74.440329,40.889726
2022,VA,Charlottesville High School                                 ,22901,-78.552744,38.087705
2022,NC,Charlotte Country Day School                                ,28226,-80.822129,35.102697
2022,VA,Norfolk Academy                                             ,23502,-76.204908,36.860941
2022,MA,East Longmeadow High School                                 ,1028,-72.498111,42.062378
2022,NJ,Lawrenceville School                                        ,8648,-74.717976,40.284308
2022,NJ,West Windsor-plainsboro Hs S                                ,8550,-74.614673,40.280155
2022,NJ,Wayne Hills High School                                     ,7470,-74.245077,40.945855
2022,AL,Decatur Heritage Chrstn Acad                                ,35603,-86.971226,34.535452
2022,TX,Saint John's School                                         ,77019,-95.409498,29.75415
2022,,American Academy In Tbilisi                                 ,,,
2022,TX,Del Valle High School                                       ,79907,-106.326563,31.707231
2022,VA,James Madison High School                                   ,22181,-77.293388,38.906651
2022,TX,Alamo Heights High School                                   ,78209,-98.456235,29.488906
2022,VA,McLean High School                                          ,22101,-77.164882,38.940203
2022,CA,Saint Ignatius College Preparator                           ,94116,-122.486065,37.745399
2022,NJ,Pingry School                                               ,7920,-74.564115,40.678994
2022,VA,Langley High School                                         ,22101,-77.164882,38.940203
2022,MD,River Hill High School                                      ,21029,-76.959448,39.213616
2022,PA,Pennsbury High School: East Campu                           ,19030,-74.837263,40.180468
2022,NJ,River Dell Regional Hs                                      ,7649,-74.032858,40.956651
2022,VA,Western Albemarle High School                               ,22932,-78.696458,38.147507
2022,AL,Mountain Brook High School                                  ,35223,-86.734834,33.488141
2022,NC,Charlotte Latin School                                      ,28277,-80.817552,35.052875
2022,PA,Middlesex School                                            ,1742,-71.364496,42.462911
2022,NY,Manhasset High School                                       ,11030,-73.688549,40.793409
2022,,Rato Bangala School                                         ,,,
2022,VA,West Springfield High School                                ,22152,-77.232029,38.774493
2022,AL,Mountain Brook High School                                  ,35223,-86.734834,33.488141
2022,SC,Loris High School                                           ,29569,-78.911583,34.032632
2022,CT,Rham High School                                            ,6248,-72.408671,41.688585
2022,VA,Rustburg High School                                        ,24588,-79.096232,37.262151
2022,PA,Lancaster Catholic High School                              ,17601,-76.314914,40.074241
2022,WV,George Washington High School                               ,25314,-81.640254,38.308083
2022,UT,Juan Diego Catholic Hs                                      ,84020,-111.869576,40.500154
2022,NJ,Madison High School                                         ,7940,-74.419181,40.760175
2022,NY,Nightingale-Bamford School                                  ,10128,-73.950013,40.781432
2022,MD,Hammond High School                                         ,21046,-76.842028,39.173116
2022,MS,Saint Andrews Episcopal School                              ,39157,-90.169852,32.425874
2022,MD,Northwest High School                                       ,20874,-77.301828,39.133056
2022,MD,Sidwell Friends School                                      ,20016,-77.090014,38.93693
2022,VA,James River High School                                     ,24066,-79.681003,37.537053
2022,MA,The Rivers School                                           ,2493,-71.303433,42.360502
2022,TX,Highland Park High School                                   ,75205,-96.795514,32.835893
2022,VA,Episcopal High School                                       ,22302,-77.083132,38.827888
2022,NJ,Mountain Lakes High School                                  ,7046,-74.440329,40.889726
2022,SC,Porter-Gaud School                                          ,29407,-79.997803,32.79893
2022,,Ethio-Parents School                                        ,,,
2022,TX,Robert Vela High School                                     ,78539,-98.183295,26.280689
2022,TN,Montgomery Bell Academy                                     ,37205,-86.870442,36.113195
2022,SC,Portsmouth Abbey School                                     ,2871,-71.261246,41.587299
2022,NJ,Saint Andrews School                                        ,19709,-75.675004,39.494582
2022,MD,Easton High School                                          ,21601,-76.081602,38.79365
2022,GA,Gwinnett Sch Of Math Sci Tech                               ,30044,-84.065671,33.922046
2022,PA,Shady Side Academy                                          ,15238,-79.879443,40.537201
2022,MN,Stillwater Area Senior Hs                                   ,55082,-92.839768,45.073127
2022,AE,Wiesbaden High School                                       ,9096,,
2022,OR,Tigard Senior High School                                   ,97224,-122.795056,45.405501
2022,VA,Mills E Godwin High School                                  ,23238,-77.647606,37.595612
2022,MD,McDonogh School                                             ,21117,-76.777976,39.427563
2022,DC,Menlo School                                                ,94027,-122.204756,37.453514
2022,UT,Logan High School                                           ,84321,-111.836493,41.717722
2022,NC,                                                            ,,,
2022,VA,Amherst County High School                                  ,24521,-79.100863,37.633294
2022,SC,Heathwood Hall Episcopal Sch                                ,29201,-81.028098,33.982484
2022,TX,Regents School of Austin                                    ,78735,-97.86919,30.268138
2022,NC,Forsyth Country Day School                                  ,27023,-80.456712,36.089784
2022,VA,Saint Anne's-Belfield                                       ,22903,-78.59506,38.006972
2022,NY,Convent Of The Sacred Heart                                 ,10128,-73.950013,40.781432
2022,,Saint Raphael Academy                                       ,2860,-71.388681,41.870562
